Eu1,Eu2,Eu3,AngD1,AngD2,AngD3,P,D,Time,Prop,Energy,Error
-1.4891,0.16817000000000001,2.8148,0.67214,1.2038,-0.12352,0.15763,0.46763999999999994,0.0075892,4.4755,0.24181999999999998,0.01838
-1.2834,0.3038,-1.9689,0.20914000000000002,-0.73137,0.6792,0.23067,0.23973000000000003,0.0048714,4.0427,0.078894,0.0088575
1.3541,0.5263800000000001,-2.9698,-0.5080399999999999,-0.52693,0.22598000000000001,0.12947,0.24343,0.019801,3.7438,0.18957000000000002,0.014294
-0.7936,-1.4809999999999999,-2.9612,1.4439,1.2103,0.036241,0.12295,0.39979000000000003,0.015124,5.4284,0.36432,0.027386
-0.25043000000000004,-0.3453,2.0344,-1.3097,-0.4423,0.73532,0.065377,0.20788,0.017038,4.1160000000000005,0.23943000000000003,0.026951999999999997
-1.212,1.0424,0.74233,0.063999,0.5796,-1.0982,0.018869,0.13045,0.016068,2.102,0.12014000000000001,0.04195
-0.16737,0.27123,-0.37817,-1.9141,-0.1443,-0.722,0.34638,0.41398,0.0021411,2.0772,0.28998,0.0025423999999999998
2.0421,1.0648,-1.3312,0.019883,0.7583300000000001,0.6138,0.12145,0.25622,0.01384,5.2158,0.12201,0.018122
2.1162,1.2053,2.0265,-0.44633999999999996,0.40108,0.15413,0.093234,0.23393000000000003,0.016327,4.4874,0.06275900000000001,0.021513
-2.8465,-1.2766,1.0649,0.72315,1.0716,-0.62408,0.11467999999999999,0.39718000000000003,0.019374000000000002,1.2348,0.17839000000000002,0.029521
0.1432,-1.4207,-1.9688,0.6601199999999999,0.71705,-0.488,0.20792,0.34623000000000004,0.014875999999999999,0.62133,0.11294000000000001,0.013909999999999999
-1.6377,0.77684,-1.9634,0.28605,0.09902999999999999,-0.6034,0.22421,0.47383000000000003,0.005039899999999999,5.454,0.05165,0.0037478999999999998
1.1785,-1.2206,2.3214,-0.01652,-1.0777,-0.5453899999999999,0.21203000000000002,0.39968000000000004,0.007753699999999999,2.0245,0.21791,0.016827
-1.5873,0.068763,1.1774,-0.61661,0.67788,0.55318,0.096959,0.23554,0.0075049999999999995,4.6841,0.15135,0.020066
2.2385,-0.39529000000000003,-2.1699,0.059739,0.53843,-0.23388,0.08240399999999999,0.23106,0.012615000000000001,3.0422,0.050304,0.02205
